team,year,leag,o_fgm,o_fga,o_ftm,o_fta,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_3pm,o_3pa,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_3pm,d_3pa,d_pts,pace,won,lost
MIE,1952,N,2166,5559,1611,2221,0,0,3406,1351,1917,0,0,0,0,0,5943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5544,0,48,22
NYK,1952,N,2059,5339,1867,2652,0,0,4007,1575,2053,0,0,0,0,0,5985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5621,0,47,23
PH1,1952,N,1987,5546,1560,2298,0,0,3763,1513,1860,0,0,0,0,0,5534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6134,0,12,57
ROC,1952,N,2019,5432,2005,2747,0,0,3625,1520,2210,0,0,0,0,0,6043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5845,0,44,26
SYR,1952,N,1942,5329,2197,2950,0,0,3472,1459,2132,0,0,0,0,0,6081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5772,0,47,24
BA1,1953,N,2036,5539,1566,2312,0,0,3816,1385,1777,0,0,0,0,0,5638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6127,0,16,56
BOS,1953,N,2232,5580,1851,2550,0,0,3867,1773,1969,0,0,0,0,0,6315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6149,0,42,30
FTW,1953,N,1952,5187,1689,2315,0,0,3785,1474,1669,0,0,0,0,0,5593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5479,0,40,32
MI1,1953,N,1757,5087,1524,2205,0,0,3202,1298,1771,0,0,0,0,0,5038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5422,0,21,51
MIE,1953,N,2184,5803,1512,2067,0,0,3752,1323,1918,0,0,0,0,0,5880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5638,0,46,26
NYK,1953,N,1934,5177,1820,2525,0,0,3830,1469,1832,0,0,0,0,0,5688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5695,0,44,28
PH1,1953,N,2023,5431,1586,2272,0,0,3589,1468,1741,0,0,0,0,0,5632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5789,0,29,43
ROC,1953,N,2010,5451,1722,2518,0,0,3494,1454,1904,0,0,0,0,0,5742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5566,0,44,28
SYR,1953,N,2054,5579,1905,2650,0,0,3652,1541,1852,0,0,0,0,0,6013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5659,0,42,30
BOS,1954,N,2604,6533,2097,2704,0,0,4203,1905,1859,0,0,0,0,0,7305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7308,0,36,36
FTW,1954,N,2333,5980,1986,2710,0,0,3826,1737,1753,0,0,0,0,0,6652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6480,0,43,29
MI1,1954,N,2187,6041,1917,2672,0,0,3854,1544,1904,0,0,0,0,0,6291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6509,0,26,46
MIE,1954,N,2506,6465,1873,2517,0,0,3865,1468,1935,0,0,0,0,0,6885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6804,0,40,32
NYK,1954,N,2392,6149,1887,2593,0,0,4379,1744,1587,0,0,0,0,0,6671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6667,0,38,34
PH1,1954,N,2392,6234,1928,2625,0,0,4238,1744,1716,0,0,0,0,0,6712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6732,0,33,39
ROC,1954,N,2399,6020,1737,2420,0,0,3904,1695,1865,0,0,0,0,0,6535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6653,0,29,43
SYR,1954,N,2360,6343,1837,2450,0,0,3933,1778,1658,0,0,0,0,0,6557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6458,0,43,29
BOS,1955,N,2745,6913,2142,2785,0,0,4583,1834,1874,0,0,0,0,0,7632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7582,0,39,33
FTW,1955,N,2396,6174,2002,2729,0,0,3974,1752,1789,0,0,0,0,0,6794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6746,0,37,35
MIE,1955,N,2541,6543,2066,2627,0,0,4133,1689,1978,0,0,0,0,0,7148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7214,0,33,39
